gender,age,category,quantity,price
Female,20,Shoes,3,1800.51
Female,18,Clothing,4,1200.32
Male,53,Cosmetics,4,162.64
Male,46,Cosmetics,4,162.64
Female,34,Clothing,1,300.08
Female,61,Clothing,3,900.24
Female,38,Clothing,5,1500.4
Female,67,Food & Beverage,3,15.69
Male,33,Toys,4,143.36
Female,63,Clothing,4,1200.32
Female,21,Clothing,5,1500.4
Female,41,Cosmetics,4,162.64
Female,48,Food & Beverage,1,5.23
Male,27,Technology,1,1050
Female,22,Toys,5,179.2
Female,54,Clothing,4,1200.32
Female,51,Toys,1,35.84
Female,29,Clothing,1,300.08
Female,44,Shoes,2,1200.34
Female,20,Shoes,3,1800.51
Female,59,Shoes,2,1200.34
Female,23,Clothing,4,1200.32
Female,25,Clothing,1,300.08
Male,63,Shoes,1,600.17
Male,21,Clothing,5,1500.4
Female,56,Clothing,3,900.24
Male,39,Cosmetics,2,81.32
Male,50,Food & Beverage,2,10.46
Female,54,Shoes,4,2400.68
Male,27,Technology,3,3150
Male,56,Clothing,5,1500.4
Female,53,Clothing,4,1200.32
Female,62,Cosmetics,3,121.98
Female,42,Clothing,4,1200.32
Female,68,Toys,2,71.68
Male,27,Clothing,4,1200.32
Male,39,Cosmetics,4,162.64
Male,44,Toys,3,107.52
Female,52,Clothing,3,900.24
Female,19,Cosmetics,2,81.32
Female,68,Cosmetics,3,121.98
Male,22,Books,5,75.75
Male,61,Shoes,1,600.17
Male,23,Food & Beverage,3,15.69
Male,34,Cosmetics,5,203.3
Female,33,Souvenir,2,23.46
Female,60,Shoes,1,600.17
Female,24,Food & Beverage,1,5.23
Male,53,Cosmetics,5,203.3
Male,22,Clothing,3,900.24
Male,50,Souvenir,4,46.92
Male,49,Clothing,2,600.16
Male,31,Clothing,1,300.08
Male,29,Food & Beverage,5,26.15
Female,52,Food & Beverage,1,5.23
Female,67,Cosmetics,2,81.32
Female,50,Food & Beverage,2,10.46
Female,58,Toys,5,179.2
Female,50,Clothing,4,1200.32
Female,68,Technology,2,2100
Female,59,Souvenir,2,23.46
Female,66,Clothing,5,1500.4
Male,69,Souvenir,4,46.92
Male,27,Food & Beverage,5,26.15
Female,52,Toys,1,35.84
Female,27,Clothing,2,600.16
Female,43,Technology,2,2100
Male,36,Clothing,1,300.08
Female,19,Souvenir,1,11.73
Male,21,Books,5,75.75
Male,20,Clothing,1,300.08
Female,23,Toys,2,71.68
Female,52,Cosmetics,2,81.32
Male,24,Clothing,4,1200.32
Female,20,Food & Beverage,5,26.15
Male,58,Toys,3,107.52
Male,21,Clothing,4,1200.32
Male,35,Shoes,2,1200.34
Female,29,Cosmetics,3,121.98
Male,68,Cosmetics,2,81.32
Female,50,Cosmetics,3,121.98
Female,44,Toys,3,107.52
Female,47,Clothing,1,300.08
Female,48,Souvenir,4,46.92
Female,39,Toys,1,35.84
Male,27,Clothing,1,300.08
Female,34,Shoes,4,2400.68
Female,65,Food & Beverage,1,5.23
Female,53,Cosmetics,2,81.32
Female,19,Food & Beverage,3,15.69
Female,19,Clothing,2,600.16
Female,31,Food & Beverage,1,5.23
Female,43,Toys,2,71.68
Male,42,Clothing,3,900.24
Male,58,Books,4,60.6
Female,34,Cosmetics,3,121.98
Female,32,Cosmetics,2,81.32
Male,27,Souvenir,4,46.92
Female,28,Food & Beverage,2,10.46
Male,55,Cosmetics,3,121.98
Female,48,Souvenir,3,35.19
Female,46,Food & Beverage,4,20.92
Female,20,Toys,3,107.52
Male,39,Toys,3,107.52
Male,44,Clothing,5,1500.4
Female,35,Cosmetics,5,203.3
Male,48,Cosmetics,5,203.3
Female,22,Clothing,1,300.08
Female,52,Technology,3,3150
Male,45,Clothing,5,1500.4
Male,64,Clothing,4,1200.32
Male,38,Souvenir,5,58.65
Female,45,Shoes,2,1200.34
Female,41,Souvenir,5,58.65
Female,57,Cosmetics,1,40.66
Male,57,Food & Beverage,4,20.92
Female,60,Books,1,15.15
Female,44,Food & Beverage,2,10.46
Male,38,Cosmetics,5,203.3
Male,65,Food & Beverage,3,15.69
Male,30,Clothing,1,300.08
Female,50,Clothing,2,600.16
Female,19,Food & Beverage,3,15.69
Male,26,Shoes,1,600.17
Female,54,Cosmetics,4,162.64
Female,63,Cosmetics,3,121.98
Female,66,Clothing,2,600.16
Female,48,Cosmetics,2,81.32
Male,46,Clothing,2,600.16
Male,54,Shoes,4,2400.68
Male,62,Books,5,75.75
Female,64,Toys,3,107.52
Male,55,Food & Beverage,3,15.69
Female,20,Clothing,1,300.08
Male,41,Toys,5,179.2
Male,54,Food & Beverage,5,26.15
Male,34,Clothing,1,300.08
Female,31,Clothing,1,300.08
Male,48,Toys,4,143.36
Female,44,Clothing,2,600.16
Female,42,Shoes,1,600.17
Male,25,Shoes,1,600.17
Male,64,Clothing,5,1500.4
Female,67,Technology,5,5250
Female,55,Clothing,2,600.16
Female,62,Shoes,3,1800.51
Female,54,Clothing,2,600.16
Female,43,Food & Beverage,4,20.92
Female,30,Clothing,2,600.16
Female,58,Cosmetics,5,203.3
Male,49,Shoes,5,3000.85
Female,49,Clothing,3,900.24
Female,19,Clothing,5,1500.4
Female,58,Food & Beverage,1,5.23
Female,49,Food & Beverage,2,10.46
Female,50,Technology,1,1050
Female,21,Cosmetics,4,162.64
Male,21,Shoes,2,1200.34
Male,63,Cosmetics,5,203.3
Male,30,Souvenir,2,23.46
Male,66,Shoes,5,3000.85
Female,23,Food & Beverage,4,20.92
Female,69,Clothing,1,300.08
Female,45,Shoes,4,2400.68
Male,53,Clothing,5,1500.4
Female,50,Books,1,15.15
Female,45,Clothing,3,900.24
Female,47,Food & Beverage,3,15.69
Female,36,Clothing,1,300.08
Female,61,Food & Beverage,3,15.69
Female,46,Toys,4,143.36
Male,47,Technology,5,5250
Female,38,Clothing,5,1500.4
Female,41,Clothing,1,300.08
Male,29,Clothing,4,1200.32
Female,58,Cosmetics,3,121.98
Male,69,Technology,3,3150
Female,53,Cosmetics,4,162.64
Male,26,Food & Beverage,1,5.23
Male,53,Food & Beverage,1,5.23
Female,63,Clothing,4,1200.32
Female,54,Clothing,1,300.08
Female,54,Clothing,5,1500.4
Male,45,Souvenir,2,23.46
Female,62,Toys,4,143.36
Female,18,Clothing,1,300.08
Female,44,Shoes,5,3000.85
Male,50,Clothing,1,300.08
Male,31,Clothing,5,1500.4
Male,62,Clothing,5,1500.4
Female,20,Clothing,5,1500.4
Female,65,Books,5,75.75
Female,63,Souvenir,1,11.73
Female,57,Food & Beverage,4,20.92
Female,59,Clothing,1,300.08
Female,44,Clothing,4,1200.32
Female,63,Cosmetics,5,203.3
Male,65,Clothing,4,1200.32
Female,68,Clothing,1,300.08
Female,21,Food & Beverage,2,10.46
Female,33,Books,5,75.75
Female,23,Souvenir,2,23.46
Female,49,Souvenir,5,58.65
Male,57,Shoes,2,1200.34
Female,54,Toys,4,143.36
Female,41,Cosmetics,3,121.98
Female,21,Shoes,3,1800.51
Female,45,Toys,1,35.84
Female,58,Shoes,3,1800.51
Male,53,Food & Beverage,4,20.92
Female,53,Clothing,5,1500.4
Male,39,Food & Beverage,5,26.15
Female,21,Shoes,1,600.17
Female,51,Toys,1,35.84
Male,50,Clothing,2,600.16
Female,50,Cosmetics,4,162.64
Male,61,Food & Beverage,3,15.69
Male,44,Food & Beverage,5,26.15
Female,31,Souvenir,4,46.92
Male,64,Food & Beverage,1,5.23
Male,50,Clothing,2,600.16
Male,45,Clothing,1,300.08
Female,29,Technology,4,4200
Female,33,Clothing,1,300.08
Male,29,Food & Beverage,2,10.46
Male,65,Technology,3,3150
Female,66,Clothing,1,300.08
Male,54,Cosmetics,3,121.98
Male,44,Technology,4,4200
Male,46,Toys,5,179.2
Male,37,Food & Beverage,5,26.15
Female,22,Food & Beverage,5,26.15
Female,55,Cosmetics,4,162.64
Male,41,Technology,2,2100
Male,42,Toys,3,107.52
Male,24,Shoes,3,1800.51
Female,43,Cosmetics,4,162.64
Male,40,Clothing,3,900.24
Female,22,Cosmetics,4,162.64
Female,27,Books,1,15.15
Female,68,Cosmetics,2,81.32
Female,48,Clothing,2,600.16
Female,56,Clothing,3,900.24
Male,25,Clothing,3,900.24
Male,30,Food & Beverage,4,20.92
Female,49,Toys,5,179.2
Male,57,Clothing,2,600.16
Female,46,Food & Beverage,4,20.92
Male,29,Food & Beverage,3,15.69
Female,69,Cosmetics,1,40.66
Female,42,Cosmetics,2,81.32
Female,38,Toys,1,35.84
Female,46,Clothing,2,600.16
Male,31,Cosmetics,3,121.98
Male,26,Clothing,5,1500.4
Female,48,Cosmetics,3,121.98
Male,30,Books,5,75.75
Male,56,Clothing,1,300.08
Male,65,Food & Beverage,2,10.46
Female,53,Clothing,2,600.16
Female,43,Clothing,3,900.24
Male,26,Food & Beverage,2,10.46
Male,23,Clothing,5,1500.4
Female,54,Shoes,4,2400.68
Male,56,Clothing,4,1200.32
Female,37,Toys,2,71.68
Male,48,Clothing,3,900.24
Male,56,Food & Beverage,2,10.46
Female,58,Souvenir,2,23.46
Female,40,Food & Beverage,3,15.69
Female,38,Shoes,5,3000.85
Female,40,Cosmetics,3,121.98
Male,64,Toys,1,35.84
Male,28,Souvenir,5,58.65
Male,49,Cosmetics,4,162.64
Male,51,Food & Beverage,3,15.69
Male,22,Clothing,3,900.24
Female,67,Clothing,5,1500.4
Female,22,Toys,2,71.68
Female,26,Clothing,3,900.24
Female,42,Toys,1,35.84
Female,45,Books,1,15.15
Female,43,Clothing,1,300.08
Female,35,Cosmetics,2,81.32
Male,49,Clothing,3,900.24
Female,49,Food & Beverage,3,15.69
Male,33,Clothing,5,1500.4
Female,65,Food & Beverage,2,10.46
Male,40,Souvenir,4,46.92
Male,68,Technology,2,2100
Female,26,Cosmetics,4,162.64
Male,38,Toys,1,35.84
Female,56,Cosmetics,4,162.64
Male,19,Cosmetics,1,40.66
Female,18,Cosmetics,2,81.32
Male,55,Food & Beverage,1,5.23
Female,53,Cosmetics,2,81.32
Female,69,Cosmetics,1,40.66
Male,27,Cosmetics,3,121.98
Female,36,Food & Beverage,2,10.46
Female,61,Shoes,5,3000.85
Female,43,Cosmetics,5,203.3
Female,51,Food & Beverage,4,20.92
Male,38,Toys,4,143.36
Male,34,Food & Beverage,2,10.46
Male,23,Food & Beverage,5,26.15
Male,56,Food & Beverage,4,20.92
Male,60,Food & Beverage,4,20.92
Female,59,Souvenir,4,46.92
Male,43,Clothing,1,300.08
Male,55,Books,4,60.6
Male,40,Clothing,3,900.24
Female,43,Food & Beverage,2,10.46
Male,59,Food & Beverage,4,20.92
Male,24,Books,5,75.75
Female,63,Clothing,5,1500.4
Male,31,Food & Beverage,2,10.46
Female,69,Clothing,2,600.16
Female,36,Books,3,45.45
Female,54,Clothing,3,900.24
Male,22,Food & Beverage,3,15.69
Male,39,Food & Beverage,1,5.23
Male,26,Cosmetics,3,121.98
Male,44,Shoes,2,1200.34
Female,35,Toys,1,35.84
Female,66,Shoes,1,600.17
Male,61,Shoes,1,600.17
Female,30,Cosmetics,2,81.32
Male,55,Toys,5,179.2
Female,22,Books,3,45.45
Female,51,Clothing,1,300.08
Male,53,Cosmetics,4,162.64
Female,54,Clothing,5,1500.4
Male,34,Clothing,2,600.16
Female,49,Clothing,1,300.08
Female,41,Souvenir,4,46.92
Female,34,Clothing,1,300.08
Female,59,Cosmetics,3,121.98
Female,20,Food & Beverage,2,10.46
Female,23,Clothing,5,1500.4
Female,25,Clothing,3,900.24
Female,63,Toys,3,107.52
Male,68,Technology,1,1050
Male,58,Shoes,1,600.17
Male,58,Shoes,1,600.17
Male,47,Clothing,1,300.08
Female,22,Clothing,5,1500.4
Female,51,Cosmetics,1,40.66
Male,56,Food & Beverage,5,26.15
Male,33,Clothing,5,1500.4
Male,27,Technology,5,5250
Male,50,Shoes,4,2400.68
Female,49,Technology,1,1050
Female,52,Souvenir,5,58.65
Male,54,Clothing,1,300.08
Male,19,Cosmetics,3,121.98
Female,49,Cosmetics,5,203.3
Female,44,Cosmetics,4,162.64
Male,69,Food & Beverage,4,20.92
Female,41,Clothing,5,1500.4
Female,25,Toys,2,71.68
Female,51,Shoes,4,2400.68
Female,53,Shoes,1,600.17
Female,20,Clothing,3,900.24
Male,62,Clothing,1,300.08
Female,30,Cosmetics,3,121.98
Female,47,Cosmetics,1,40.66
Male,40,Shoes,4,2400.68
Female,35,Clothing,3,900.24
Female,41,Cosmetics,5,203.3
Female,48,Clothing,2,600.16
Male,26,Food & Beverage,5,26.15
Female,27,Food & Beverage,1,5.23
Female,26,Souvenir,5,58.65
Female,65,Food & Beverage,3,15.69
Female,25,Cosmetics,2,81.32
Female,19,Books,4,60.6
Male,21,Technology,4,4200
Female,61,Food & Beverage,5,26.15
Female,65,Toys,5,179.2
Female,23,Cosmetics,4,162.64
Male,42,Clothing,3,900.24
Male,33,Food & Beverage,3,15.69
Female,54,Clothing,2,600.16
Female,67,Food & Beverage,4,20.92
Female,41,Food & Beverage,1,5.23
Female,57,Books,5,75.75
Female,35,Clothing,1,300.08
Male,62,Clothing,1,300.08
Male,26,Toys,1,35.84
Male,48,Cosmetics,4,162.64
Female,57,Clothing,4,1200.32
Female,53,Shoes,2,1200.34
Male,58,Cosmetics,4,162.64
Female,32,Clothing,2,600.16
Female,23,Food & Beverage,5,26.15
Female,49,Toys,4,143.36
Female,26,Clothing,4,1200.32
Female,62,Clothing,5,1500.4
Male,30,Toys,1,35.84
Female,28,Clothing,2,600.16
Female,65,Shoes,2,1200.34
Female,56,Toys,1,35.84
Female,40,Food & Beverage,3,15.69
Male,55,Clothing,4,1200.32
Female,61,Toys,2,71.68
Female,35,Souvenir,5,58.65
Female,37,Shoes,1,600.17
Male,32,Cosmetics,1,40.66
Female,68,Souvenir,1,11.73
Female,44,Clothing,2,600.16
Female,61,Cosmetics,4,162.64
Male,38,Clothing,4,1200.32
Female,66,Clothing,3,900.24
Female,53,Clothing,5,1500.4
Female,21,Food & Beverage,4,20.92
Male,61,Cosmetics,2,81.32
Female,32,Food & Beverage,4,20.92
Female,46,Clothing,1,300.08
Male,25,Toys,2,71.68
Female,49,Cosmetics,1,40.66
Female,26,Clothing,3,900.24
Female,40,Clothing,2,600.16
Female,20,Clothing,4,1200.32
Female,38,Cosmetics,4,162.64
Female,63,Cosmetics,2,81.32
Male,25,Shoes,2,1200.34
Female,19,Clothing,1,300.08
Female,53,Cosmetics,4,162.64
Female,51,Shoes,1,600.17
Male,56,Souvenir,2,23.46
Male,29,Toys,4,143.36
Female,20,Shoes,4,2400.68
Female,35,Books,1,15.15
Female,62,Food & Beverage,2,10.46
Female,32,Clothing,4,1200.32
Male,48,Technology,5,5250
Male,43,Cosmetics,3,121.98
Female,57,Clothing,4,1200.32
Male,33,Clothing,2,600.16
Female,49,Food & Beverage,1,5.23
Female,29,Clothing,4,1200.32
Female,43,Food & Beverage,2,10.46
Female,36,Food & Beverage,5,26.15
Female,59,Shoes,5,3000.85
Female,31,Clothing,5,1500.4
Female,51,Food & Beverage,2,10.46
Male,27,Technology,4,4200
Female,62,Cosmetics,5,203.3
Male,44,Clothing,5,1500.4
Female,18,Shoes,4,2400.68
Female,52,Food & Beverage,5,26.15
Male,60,Technology,3,3150
Female,34,Food & Beverage,3,15.69
Male,47,Clothing,1,300.08
Female,58,Toys,1,35.84
Female,51,Clothing,4,1200.32
Female,32,Clothing,3,900.24
Female,23,Toys,5,179.2
Female,38,Toys,4,143.36
Male,63,Souvenir,2,23.46
Female,50,Food & Beverage,3,15.69
Male,64,Cosmetics,2,81.32
Male,51,Clothing,2,600.16
Male,21,Food & Beverage,1,5.23
Female,20,Cosmetics,3,121.98
Male,34,Food & Beverage,3,15.69
Female,26,Cosmetics,4,162.64
Female,19,Clothing,3,900.24
Female,47,Food & Beverage,3,15.69
Male,47,Clothing,4,1200.32
Female,56,Toys,2,71.68
Male,42,Clothing,5,1500.4
Male,49,Souvenir,5,58.65
Female,51,Shoes,3,1800.51
Female,41,Technology,4,4200
Male,27,Food & Beverage,1,5.23
Female,61,Clothing,5,1500.4
Female,38,Shoes,4,2400.68
Male,42,Clothing,1,300.08
Male,58,Food & Beverage,1,5.23
Female,57,Souvenir,3,35.19
Male,23,Clothing,3,900.24
Female,62,Clothing,1,300.08
Male,31,Shoes,3,1800.51
Female,54,Clothing,1,300.08
Male,19,Clothing,4,1200.32
Male,68,Cosmetics,5,203.3
Male,44,Clothing,5,1500.4
Female,44,Clothing,2,600.16
Female,29,Shoes,3,1800.51
Female,67,Food & Beverage,4,20.92
Female,28,Shoes,5,3000.85
Female,34,Clothing,5,1500.4
Male,45,Toys,2,71.68
Female,55,Clothing,2,600.16
Female,69,Food & Beverage,2,10.46
Male,30,Food & Beverage,4,20.92
Female,38,Clothing,2,600.16
Male,39,Cosmetics,1,40.66
Female,63,Toys,4,143.36
Male,49,Cosmetics,1,40.66
Female,66,Shoes,4,2400.68
Female,68,Food & Beverage,1,5.23
Male,18,Clothing,5,1500.4
Female,42,Shoes,3,1800.51
Female,54,Clothing,4,1200.32
Male,43,Clothing,5,1500.4
Male,54,Clothing,1,300.08
Male,43,Shoes,4,2400.68
Male,44,Clothing,3,900.24
Male,36,Technology,2,2100
Female,41,Food & Beverage,2,10.46
Female,45,Clothing,1,300.08
Female,41,Clothing,2,600.16
Male,58,Cosmetics,5,203.3
Female,34,Shoes,1,600.17
Female,67,Food & Beverage,1,5.23
Male,60,Books,5,75.75
Female,31,Clothing,5,1500.4
Female,52,Toys,3,107.52
Male,25,Food & Beverage,5,26.15
Female,22,Clothing,4,1200.32
Female,34,Food & Beverage,3,15.69
Male,30,Clothing,4,1200.32
Female,25,Food & Beverage,2,10.46
Female,48,Clothing,3,900.24
Male,30,Clothing,1,300.08
Female,30,Clothing,3,900.24
Female,36,Clothing,5,1500.4
Female,52,Shoes,5,3000.85
Male,33,Food & Beverage,1,5.23
Male,69,Cosmetics,5,203.3
Female,46,Clothing,2,600.16
Female,65,Toys,4,143.36
Male,27,Food & Beverage,5,26.15
Female,42,Food & Beverage,2,10.46
Female,56,Technology,5,5250
Female,68,Cosmetics,5,203.3
Male,64,Food & Beverage,3,15.69
Male,59,Food & Beverage,1,5.23
Female,68,Technology,3,3150
Male,25,Cosmetics,5,203.3
Female,40,Toys,5,179.2
Female,18,Toys,1,35.84
Male,56,Clothing,4,1200.32
Female,36,Shoes,1,600.17
Female,30,Food & Beverage,1,5.23
Female,52,Cosmetics,4,162.64
Female,24,Technology,4,4200
Female,30,Clothing,2,600.16
Female,45,Cosmetics,5,203.3
Male,29,Toys,4,143.36
Male,24,Books,1,15.15
Female,46,Clothing,2,600.16
Female,65,Shoes,4,2400.68
Female,26,Toys,1,35.84
Female,58,Toys,3,107.52
Female,45,Clothing,4,1200.32
Male,43,Cosmetics,3,121.98
Female,25,Souvenir,4,46.92
Female,53,Clothing,3,900.24
Female,63,Clothing,1,300.08
Female,37,Cosmetics,1,40.66
Female,68,Cosmetics,4,162.64
Female,67,Books,5,75.75
Female,29,Clothing,5,1500.4
Female,55,Clothing,4,1200.32
Male,30,Clothing,2,600.16
Female,57,Toys,5,179.2
Male,33,Shoes,1,600.17
Female,54,Clothing,3,900.24
Female,66,Shoes,4,2400.68
Male,56,Clothing,5,1500.4
Male,30,Technology,4,4200
Female,19,Clothing,5,1500.4
Female,22,Technology,1,1050
Male,29,Food & Beverage,5,26.15
Male,44,Clothing,2,600.16
Female,38,Toys,1,35.84
Female,32,Clothing,3,900.24
Female,58,Toys,4,143.36
Female,55,Cosmetics,4,162.64
Female,64,Food & Beverage,2,10.46
Female,45,Clothing,3,900.24
Female,65,Clothing,1,300.08
Female,54,Clothing,4,1200.32
Male,58,Clothing,5,1500.4
Female,40,Cosmetics,2,81.32
Male,24,Clothing,5,1500.4
Female,60,Clothing,5,1500.4
Female,60,Food & Beverage,3,15.69
Male,66,Food & Beverage,2,10.46
Male,59,Food & Beverage,1,5.23
Male,69,Souvenir,5,58.65
Female,47,Cosmetics,4,162.64
Male,39,Technology,3,3150
Female,54,Clothing,1,300.08
Female,67,Technology,4,4200
Male,30,Clothing,2,600.16
Female,27,Toys,3,107.52
Female,52,Cosmetics,4,162.64
Female,57,Food & Beverage,3,15.69
Male,52,Clothing,1,300.08
Male,20,Cosmetics,4,162.64
Female,52,Souvenir,5,58.65
Female,67,Food & Beverage,3,15.69
Female,20,Cosmetics,4,162.64
Female,64,Clothing,3,900.24
Female,20,Cosmetics,2,81.32
